Codi_districte,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Nom_districte,Descripcio_torn,NK_Any,Codi_carrer,Nom_carrer,Dia_mes,Nom_mes,Nom_barri,Hora_dia,Latitud_WGS84,Numero_expedient,Codi_barri,Mes_any,_id,Num_postal,Longitud_WGS84,Descripcio_dia_setmana,Descripcio_causa_mediata,Nk_Any,Número_expedient,Causa conductor,Fecha_Hora_Accidente,last_update
10,432139.36,4585186.75,Sant Martí,Nit,2023,209900,Meridiana,15,Agost,el Camp de l'Arpa del Clot,23,41.413520581,2023S004984    ,64,08,14,0187 0187,2.186892134,Dimarts,Gir indegut o sense precaució,,,,2023-08-15 23:00:00,2026-07-30 08:35:25.174136
10,432107.59,4585401.76,Sant Martí,Tarda,2023,226400,Las Navas de Tolosa,20,Juny,el Camp de l'Arpa del Clot,16,41.415454425,2023S003695    ,64,06,15,0293 0293,2.186487885,Dimarts,Altres,,,,2023-06-20 16:00:00,2026-07-30 08:35:25.174136
10,432141.03,4585382.64,Sant Martí,Tarda,2023,226400,Las Navas de Tolosa,28,Juny,el Camp de l'Arpa del Clot,16,41.415285043,2023S003891    ,64,06,16,0295 0295,2.186890129,Dimecres,Manca d'atenció a la conducció,,,,2023-06-28 16:00:00,2026-07-30 08:35:25.174136
10,431336.21,4585087.98,Sant Martí,Matí,2023,161101,Independència,19,Setembre,el Camp de l'Arpa del Clot,12,41.412562734,2023S005526    ,64,09,17,0388 0392,2.177294241,Dimarts,Desconegut,,,,2023-09-19 12:00:00,2026-07-30 08:35:25.174136
10,431653.81,4585294.29,Sant Martí,Matí,2023,194406,Maragall,08,Maig,el Camp de l'Arpa del Clot,09,41.41444799,2023S002728    ,64,05,18,0020 0022,2.18107072,Dilluns,Altres,,,,2023-05-08 09:00:00,2026-07-30 08:35:25.174136
10,431603.55,4585443.43,Sant Martí,Tarda,2023,194406,Maragall,10,Gener,el Camp de l'Arpa del Clot,17,41.415786967,2023S000172    ,64,01,19,0052 0054,2.180452515,Dimarts,Desconegut,,,,2023-01-10 17:00:00,2026-07-30 08:35:25.174136
10,431646.49,4585469.73,Sant Martí,Tarda,2023,297001,Sant Antoni Maria Claret,15,Febrer,el Camp de l'Arpa del Clot,20,41.416027499,2023S000944    ,64,02,20,0356 0356,2.180963306,Dimecres,Altres,,,,2023-02-15 20:00:00,2026-07-30 08:35:25.174136
10,431372.38,4585035.95,Sant Martí,Tarda,2023,161407,Indústria,27,Abril,el Camp de l'Arpa del Clot,20,41.412097208,2023S002482    ,64,04,21,0224 0224,2.177732887,Dijous,Desobeir altres senyals,,,,2023-04-27 20:00:00,2026-07-30 08:35:25.174136
10,431555.77,4585028.44,Sant Martí,Tarda,2023,90502,Còrsega,12,Juny,el Camp de l'Arpa del Clot,17,41.412045215,2023S003507    ,64,06,22,0691B0691B,2.179927818,Dilluns,Avançament defectuós/improcedent,,,,2023-06-12 17:00:00,2026-07-30 08:35:25.174136
10,431748.64,4584647.26,Sant Martí,Tarda,2023,161101,Independència,21,Gener,el Camp de l'Arpa del Clot,16,41.408628456,2023S000417    ,64,01,23,0303 0303,2.182278336,Dissabte,Desobeir semàfor,,,,2023-01-21 16:00:00,2026-07-30 08:35:25.174136
10,431651.12,4584550.2,Sant Martí,Nit,2023,191204,Mallorca,11,Desembre,el Camp de l'Arpa del Clot,22,41.407745976,2023S007343    ,64,12,24,0518 0518,2.181122636,Dilluns,Desobeir semàfor,,,,2023-12-11 22:00:00,2026-07-30 08:35:25.174136
10,431783.3,4584478.23,Sant Martí,Tarda,2023,350308,València,17,Maig,el Camp de l'Arpa del Clot,17,41.407108999,2023S002936    ,64,05,25,0556 0556,2.182712052,Dimecres,Avançament defectuós/improcedent,,,,2023-05-17 17:00:00,2026-07-30 08:35:25.174136
10,431934.16,4584454.66,Sant Martí,Nit,2023,161101,Independència,26,Febrer,el Camp de l'Arpa del Clot,03,41.406909506,2023S001145    ,64,02,26,0267 0267,2.184519459,Diumenge,Manca d'atenció a la conducció,,,,2023-02-26 03:00:00,2026-07-30 08:35:25.174136
10,432182.73,4585056.14,Sant Martí,Tarda,2023,191204,Mallorca,27,Abril,el Clot,15,41.412347879,2023S002473    ,65,04,53,0622 0624,2.187425675,Dijous,No respectar distàncies,,,,2023-04-27 15:00:00,2026-07-30 08:35:25.174136
